DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CH,2022,767616.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CY,2013,18040.3,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CY,2014,17482.8,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CY,2015,17944.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CY,2016,19013.8,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CY,2017,20312.4,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CY,2018,21674.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CY,2019,23176.5,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CY,2020,21896.5,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CY,2021,24019.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CY,2022,27006.4,p
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CZ,2013,159461.5,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CZ,2014,157821.3,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CZ,2015,169558.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CZ,2016,177438.5,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CZ,2017,194132.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CZ,2018,210970.5,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CZ,2019,225613.5,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CZ,2020,215805.4,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CZ,2021,238249.5,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,CZ,2022,276605.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DE,2013,2811350.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DE,2014,2927430.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DE,2015,3026180.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DE,2016,3134740.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DE,2017,3267160.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DE,2018,3365450.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DE,2019,3473260.0,p
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DE,2020,3405430.0,p
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DE,2021,3601750.0,p
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DE,2022,3867050.0,p
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DK,2013,258742.7,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DK,2014,265757.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DK,2015,273017.6,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DK,2016,283109.7,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DK,2017,294808.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DK,2018,302328.7,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DK,2019,309526.4,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DK,2020,311759.7,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DK,2021,336718.8,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,DK,2022,376087.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA,2013,9878312.8,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA,2014,10132878.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA,2015,10523091.6,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA,2016,10817293.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA,2017,11224152.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA,2018,11599255.4,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA,2019,11986312.1,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA,2020,11456978.6,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA,2021,12317803.1,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA,2022,13331690.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA12,2013,9722470.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA12,2014,9948981.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA12,2015,10293622.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA12,2016,10580021.4,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA12,2017,10971128.3,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA12,2018,11328274.3,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA12,2019,11698619.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA12,2020,11173887.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA12,2021,12006865.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA12,2022,12978995.6,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA19,2013,9936143.7,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA19,2014,10169459.3,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA19,2015,10523091.6,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA19,2016,10817293.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA19,2017,11224152.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA19,2018,11599255.4,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA19,2019,11986312.1,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA19,2020,11456978.6,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA19,2021,12317803.1,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA19,2022,13331690.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA20,2013,9980580.7,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA20,2014,10213448.4,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA20,2015,10568349.5,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA20,2016,10864632.6,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA20,2017,11274138.8,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA20,2018,11652002.5,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA20,2019,12041956.4,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA20,2020,11507403.5,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA20,2021,12376057.1,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EA20,2022,13399077.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EE,2013,18910.8,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EE,2014,20048.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EE,2015,20631.4,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EE,2016,21747.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EE,2017,23833.6,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EE,2018,25932.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EE,2019,27764.7,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EE,2020,27465.0,
